#LSCO S1 at T = 4 K, experimental data: 
# for B//c: B[T], rho(B)/rho(0); for B//a: B[T], rho(B)/rho(0)
4.1755e-06	 1.0005e+00	 4.1755e-06	 1.0019e+00
4.2107e-06	 1.0005e+00	 4.2107e-06	 1.0019e+00
4.2809e-06	 1.0005e+00	 4.2809e-06	 1.0019e+00
4.2828e-06	 1.0006e+00	 4.2828e-06	 1.0019e+00
4.2994e-06	 1.0006e+00	 4.2994e-06	 1.0019e+00
4.3231e-06	 1.0007e+00	 4.3231e-06	 1.0017e+00
4.3398e-06	 1.0001e+00	 4.3398e-06	 1.0022e+00
4.3676e-06	 1.0002e+00	 4.3676e-06	 1.0020e+00
4.3689e-06	 1.0002e+00	 4.3689e-06	 1.0020e+00
4.3699e-06	 1.0001e+00	 4.3699e-06	 1.0022e+00
4.3823e-06	 1.0002e+00	 4.3823e-06	 1.0021e+00
4.4191e-06	 1.0004e+00	 4.4191e-06	 1.0021e+00
4.4649e-06	 1.0008e+00	 4.4649e-06	 1.0016e+00
4.4702e-06	 1.0007e+00	 4.4702e-06	 1.0018e+00
4.4842e-06	 1.0007e+00	 4.4842e-06	 1.0018e+00
4.5070e-06	 1.0003e+00	 4.5070e-06	 1.0024e+00
4.5196e-06	 1.0008e+00	 4.5196e-06	 1.0016e+00
4.5299e-06	 1.0003e+00	 4.5299e-06	 1.0021e+00
4.5804e-06	 1.0001e+00	 4.5804e-06	 1.0022e+00
4.7581e-06	 1.0003e+00	 4.7581e-06	 1.0021e+00
4.7700e-06	 1.0003e+00	 4.7700e-06	 1.0023e+00
4.8740e-06	 1.0003e+00	 4.8740e-06	 1.0021e+00
4.8838e-06	 1.0003e+00	 4.8838e-06	 1.0021e+00
4.8946e-06	 1.0004e+00	 4.8946e-06	 1.0021e+00
4.9006e-06	 1.0001e+00	 4.9006e-06	 1.0021e+00
4.9079e-06	 1.0004e+00	 4.9079e-06	 1.0020e+00
4.9448e-06	 1.0001e+00	 4.9448e-06	 1.0021e+00
4.9453e-06	 1.0004e+00	 4.9453e-06	 1.0022e+00
4.9684e-06	 1.0001e+00	 4.9684e-06	 1.0021e+00
4.9833e-06	 1.0002e+00	 4.9833e-06	 1.0021e+00
4.9930e-06	 1.0001e+00	 4.9930e-06	 1.0021e+00
5.1039e-06	 1.0003e+00	 5.1039e-06	 1.0023e+00
5.1875e-06	 1.0003e+00	 5.1875e-06	 1.0023e+00
5.3227e-06	 1.0003e+00	 5.3227e-06	 1.0021e+00
5.3262e-06	 1.0008e+00	 5.3262e-06	 1.0016e+00
5.3913e-06	 1.0002e+00	 5.3913e-06	 1.0021e+00
5.4525e-06	 1.0003e+00	 5.4525e-06	 1.0022e+00
5.6194e-06	 1.0004e+00	 5.6194e-06	 1.0020e+00
5.6652e-06	 1.0004e+00	 5.6652e-06	 1.0021e+00
5.6773e-06	 1.0003e+00	 5.6773e-06	 1.0021e+00
5.7747e-06	 1.0008e+00	 5.7747e-06	 1.0015e+00
5.8909e-06	 1.0003e+00	 5.8909e-06	 1.0021e+00
6.0170e-06	 1.0003e+00	 6.0170e-06	 1.0021e+00
6.0481e-06	 1.0007e+00	 6.0481e-06	 1.0015e+00
6.1684e-06	 1.0008e+00	 6.1684e-06	 1.0016e+00
6.2486e-06	 1.0003e+00	 6.2486e-06	 1.0020e+00
6.2858e-06	 1.0004e+00	 6.2858e-06	 1.0020e+00
6.3343e-06	 1.0003e+00	 6.3343e-06	 1.0020e+00
6.3421e-06	 1.0007e+00	 6.3421e-06	 1.0015e+00
6.3855e-06	 1.0004e+00	 6.3855e-06	 1.0020e+00
6.3980e-06	 1.0004e+00	 6.3980e-06	 1.0020e+00
6.4503e-06	 1.0003e+00	 6.4503e-06	 1.0020e+00
6.4606e-06	 1.0004e+00	 6.4606e-06	 1.0020e+00
6.5066e-06	 1.0004e+00	 6.5066e-06	 1.0020e+00
6.5213e-06	 1.0007e+00	 6.5213e-06	 1.0015e+00
6.5743e-06	 1.0003e+00	 6.5743e-06	 1.0021e+00
6.6353e-06	 1.0004e+00	 6.6353e-06	 1.0020e+00
6.7037e-06	 1.0007e+00	 6.7037e-06	 1.0015e+00
6.8474e-06	 1.0004e+00	 6.8474e-06	 1.0019e+00
6.9592e-06	 1.0007e+00	 6.9592e-06	 1.0015e+00
7.1996e-06	 1.0007e+00	 7.1996e-06	 1.0015e+00
7.2338e-06	 1.0006e+00	 7.2338e-06	 1.0015e+00
7.3713e-06	 1.0004e+00	 7.3713e-06	 1.0019e+00
7.3793e-06	 1.0005e+00	 7.3793e-06	 1.0016e+00
7.3979e-06	 1.0004e+00	 7.3979e-06	 1.0018e+00
