B_4K	rho_4K	B_40K	rho_40K	B_80K	rho_80K	B_S1_30K	rho_S1_30K
	 nan	7.6438	1.0048	 7.7610e+00	 1.0011e+00	23.387	 1.0558e+00
	 nan	7.6506	1.0049	 7.7679e+00	 1.0011e+00	23.406	 1.0558e+00
	 nan	7.6575	1.0049	 7.7748e+00	 1.0012e+00	23.424	 1.0557e+00
	 nan	7.6643	1.0049	 7.7818e+00	 1.0011e+00	23.443	 1.0558e+00
	 nan	7.6711	1.005	 7.7888e+00	 1.0012e+00	23.462	 1.0557e+00
	 nan	7.678	1.005	 7.7957e+00	 1.0011e+00	23.481	 1.0558e+00
	 nan	7.6848	1.005	 7.8027e+00	 1.0012e+00	23.5	 1.0558e+00
	 nan	7.6917	1.0051	 7.8097e+00	 1.0012e+00	23.519	 1.0558e+00
	 nan	7.6986	1.0051	 7.8167e+00	 1.0012e+00	23.538	 1.0558e+00
	 nan	7.7054	1.0052	 7.8237e+00	 1.0012e+00	23.557	 1.0558e+00
	 nan	7.7123	1.0052	 7.8307e+00	 1.0012e+00	23.576	 1.0560e+00
	 nan	7.7192	1.0053	 7.8377e+00	 1.0012e+00	23.595	 1.0559e+00
	 nan	7.7261	1.0053	 7.8447e+00	 1.0011e+00	23.614	 1.0560e+00
	 nan	7.733	1.0054	 7.8517e+00	 1.0012e+00	23.633	 1.0560e+00
	 nan	7.7399	1.0054	 7.8587e+00	 1.0011e+00	23.652	 1.0561e+00
	 nan	7.7468	1.0054	 7.8658e+00	 1.0011e+00	23.671	 1.0562e+00
	 nan	7.7537	1.0055	 7.8728e+00	 1.0011e+00	23.69	 1.0562e+00
	 nan	7.7606	1.0055	 7.8798e+00	 1.0011e+00	23.709	 1.0564e+00
	 nan	7.7676	1.0055	 7.8869e+00	 1.0011e+00	23.728	 1.0564e+00
	 nan	7.7745	1.0055	 7.8939e+00	 1.0011e+00	23.747	 1.0566e+00
	 nan	7.7814	1.0055	 7.9010e+00	 1.0011e+00	23.767	 1.0566e+00
	 nan	7.7884	1.0055	 7.9080e+00	 1.0011e+00	23.786	 1.0569e+00
	 nan	7.7953	1.0055	 7.9151e+00	 1.0011e+00	23.805	 1.0570e+00
	 nan	7.8023	1.0055	 7.9222e+00	 1.0011e+00	23.824	 1.0571e+00
	 nan	7.8093	1.0055	 7.9292e+00	 1.0011e+00	23.843	 1.0574e+00
	 nan	7.8162	1.0055	 7.9363e+00	 1.0011e+00	23.862	 1.0574e+00
	 nan	7.8232	1.0055	 7.9434e+00	 1.0011e+00	23.882	 1.0577e+00
	 nan	7.8302	1.0055	 7.9505e+00	 1.0011e+00	23.901	 1.0577e+00
	 nan	7.8372	1.0054	 7.9576e+00	 1.0011e+00	23.92	 1.0580e+00
	 nan	7.8442	1.0054	 7.9647e+00	 1.0012e+00	23.939	 1.0581e+00
	 nan	7.8512	1.0054	 7.9718e+00	 1.0012e+00	23.959	 1.0582e+00
	 nan	7.8582	1.0054	 7.9790e+00	 1.0012e+00	23.978	 1.0583e+00
	 nan	7.8652	1.0054	 7.9861e+00	 1.0012e+00	23.997	 1.0583e+00
	 nan	7.8722	1.0053	 7.9932e+00	 1.0012e+00	24.016	 1.0585e+00
	 nan	7.8792	1.0053	 8.0003e+00	 1.0012e+00	24.036	 1.0585e+00
	 nan	7.8862	1.0053	 8.0075e+00	 1.0012e+00	24.055	 1.0586e+00
	 nan	7.8933	1.0053	 8.0146e+00	 1.0012e+00	24.074	 1.0586e+00
	 nan	7.9003	1.0053	 8.0218e+00	 1.0012e+00	24.093	 1.0586e+00
	 nan	7.9073	1.0053	 8.0289e+00	 1.0012e+00	24.113	 1.0587e+00
